line, line_character_delay, line_repetition, line_end_delay
"[delay]", 0.2, 3, 0.4
". . .", 0.2, 8, 1.04
"I wanna rock right now", 0.063, 1, 0.014
"I want I wanna rock right now", 0.061, 1, 0.001
"I want I wanna rock right now", 0.07, 1, 0.02
"Now, now, rock right now", 0.08, 1, 0
"I want I wanna rock right now", 0.064, 1, 0.024
"I want I wanna rock right now", 0.066, 1, 0.016
"I want I wanna rock right nooow", 0.141, 1, 0.009
"I wanna dance, I wanna dance in the light", 0.097, 1, 0.003
"I wanna rock, I wanna rock yo body,", 0.109, 1, 0.015
"I wanna go, I wanna go for a ride,", 0.107, 1, 0.022
"Up in the music & rock yo body right,", 0.104, 1, 0.032
"Rock ya body, come on come on rock that body, (Rock your body)", 0.059, 1, 0.042
"Rock ya body, come on come on rock, ya, body,", 0.088, 1, 0
"Rock ya body, come on come on rock that body (Rock yo body)", 0.064, 1, 0.014
"Rock ya body, come on come on rock, ya, body!", 0.072, 1, 0.03
"Let me see your body rock,", 0.058, 1, 0.012
"Shakin' from the bottom to the top,", 0.054, 1, 0
"Freak to what the Dj drop,", 0.072, 1, 0.018
"We be the ones to make it hot, (To make it hot)", 0.058, 1, 0.034
"Electric shock, energy like a million watts,", 0.067, 1, 0.012
"Space be boom and the speakas pop,", 0.057, 1, 0.012
"Galactic gone and miss the spot,", 0.064, 1, 0.012
"We bumpin' in your parkin' lot!", 0.043, 1, 0.027
"(Parkin' lot)", 0.066, 1, 0.002
"When you comin' up in the spot,", 0.049, 1, 0.001
"Don't bring nothin' we call pink dot,", 0.052, 1, 0.006
"'Cause we running around the clock,", 0.05, 1, 0.03
"Hit the lights and then turn them off,", 0.052, 1, 0.014
"If you bring that don't make you soft,", 0.051, 1, 0.012
"Like the jungle we run the block,", 0.057, 1, 0.019
"No one rollin' the way we rock!", 0.073, 1, 0.027
"I want I wanna rock right now", 0.071, 1, 0.001
"I want I wanna rock right now", 0.071, 1, 0.001
"I want I wanna rock right nooow", 0.137, 1, 0.003
"I wanna dance, I wanna dance in the light", 0.094, 1, 0.016
"I wanna rock, I wanna rock yo body,", 0.109, 1, 0.025
"I wanna go, I wanna go for a ride,", 0.108, 1, 0.018
"Up in the music & rock yo body right,", 0.109, 1, 0.017
"Rock ya body, come on come on rock that body, (Rock that body)", 0.058, 1, 0.024
"Rock ya body, come on come on rock, ya, body,", 0.084, 1, 0.03
"Rock ya body, come on come on rock that body (Rock your body)", 0.06, 1, 0.05
"Rock ya body, come on come on rock, ya, body!", 0.082, 1, 0.02
"Super fly ladies, All on my,", 0.067, 1, 0.024
"Super fly ladies, All on my,", 0.067, 1, 0.004
"Super fly ladies, All on my", 0.077, 1, 0.011
"Super -- Super fly ladies,", 0.075, 1, 0.02
"Yeah, you could be big,", 0.073, 1, 0.021
"But,", 0.172, 1, 0.002
"Long as you feel like you're all,", 0.047, 1, 0.019
"You could be the model type,", 0.066, 1, 0.002
"Skinny with no appetite,", 0.077, 1, 0.002
"Short stacks, black or white,", 0.069, 1, 0.009
"Long as you do what you like,", 0.065, 1, 0.025
"Body outta sight.", 0.094, 1, 0.002
"Body (Body Outta Sight.)", 0.082, 1, 0.002
"She does the two step,", 0.06, 1, 0.02
"And the tongue drop,", 0.046, 1, 0.01
"She does the cabbage patch,", 0.039, 1, 0.007
"And the bus stop.", 0.054, 1, 0.002
"She like Electro, she love Hip Hop,", 0.048, 1, 0.01
"She like the Reggae, she feel Punk Rock.", 0.045, 1, 0.04
