line, line_character_delay, line_repetition, line_end_delay
"[delay]", 0.2, 3, 0.4
". . .", 0.2, 22, 1.2
"(One, two, three, four)", 0.082, 1, 0.014
". . .", 0.2, 8, 0.16
"Today has a way of scarring your eyes", 0.085, 1, 0.005
"With negative light, but it's a disguise", 0.096, 1, 0.02
"I put on my shades and see through the lies", 0.082, 1, 0.014
"The convenient truth is", 0.123, 1, 0.021
"Light is on the way, we'll be having a fun time", 0.07, 1, 0.04
"It's such a lovely day, we should pocket the sunshine", 0.077, 1, 0.029
"And never give it back, even if there's a heat wave", 0.066, 1, 0.004
"Or terrorist attack, it will just be a close shave", 0.064, 1, 0.04
"I know (I know)", 0.215, 1, 0.005
"That every bomb has a silver lining", 0.113, 1, 0.025
"I know (I know)", 0.206, 1, 0.01
"It won't be long until", 0.157, 1, 0.016
"Everything works out nice in the end", 0.086, 1, 0.024
"The sun will marry the moon", 0.101, 1, 0.013
"It'll be fine", 0.1, 1, 0.01
"Why don't we sit back, mellow again", 0.077, 1, 0.005
"And have a nice afternoon?", 0.092, 1, 0.008
"It'll be fine", 0.193, 1, 0.011
"I go for a walk, the sidewalk is cracked", 0.151, 1, 0
"I'm not superstitious, but I made a pact", 0.05, 1, 0.01
"With old Mother Earth, she'd get off my back", 0.072, 1, 0.032
"If I get off hers", 0.391, 1, 0.003
"Light is on the way, we'll be having a fun time", 0.075, 1, 0.035
"It's such a lovely day, we should pocket the sunshine", 0.057, 1, 0.039
"And never give it back, even if there's a heat wave", 0.077, 1, 0.003
"We're stalling on the track, it will just be a close shave", 0.06, 1, 0.02
"I know (I know)", 0.217, 1, 0.005
"That in a snap, all the birds will sing", 0.094, 1, 0.014
"I know (I know)", 0.238, 1, 0.01
"I'm full of crap, but still", 0.098, 1, 0.004
"Everything works out nice in the end", 0.086, 1, 0.034
"The sun will marry the moon", 0.101, 1, 0.013
"It'll be fine", 0.153, 1, 0.001
"Why don't we sit back, mellow again", 0.071, 1, 0.015
"And have a nice afternoon?", 0.087, 1, 0.008
"It'll be fine", 0.24, 1, 0.01
"Fine, fine, fine", 0.33, 1, 0
"Everything is gonna be", 0.089, 1, 0.012
"Fine, fine, fine", 0.296, 1, 0.014
"Everything is gonna be", 0.11, 1, 0
"Fine, fine, fine", 0.321, 1, 0.004
"Everything is gonna be", 0.098, 1, 0.004
"Fine, fine, fine", 0.304, 1, 0.006
"Everything is gonna be", 0.698, 1, 0.004
"Everything works out nice in the end", 0.072, 1, 0.028
"The sun will marry the moon", 0.084, 1, 0.022
"It'll be fine", 0.173, 1, 0.001
"Why don't we sit back, mellow again", 0.086, 1, 0.01
"And have a nice afternoon?", 0.077, 1, 0.008
"It'll be fine", 0.169, 1, 0.003
"Everything works out nice in the end (I know)", 0.093, 1, 0.035
"The sun will marry the moon (that every bomb)", 0.08, 1, 0.01
"Works out nice in the end (has a silver lining, I know)", 0.057, 1, 0.015
"Why don't we sit back mellow again (I know)", 0.015, 1, 0.025
"And have a nice afternoon? (It won't be long until)", 0.056, 1, 0.034
"Sit back mellow again", 0.05, 1, 0.01
"Everything works out nice in the end", 0.047, 1, 0.008
"The sun will marry the moon", 0.074, 1, 0.022
"It'll be fine", 0.166, 1, 0.002
"Why don't we sit back mellow again", 0.078, 1, 0.018
"And have a nice afternoon?", 0.076, 1, 0.004
"It'll be fine, fine, fine, fine", 0.076, 1, 0.024
". . .", 0.2, 11, 1.19
